Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
flags,NoQuery,,0.3161764705882352,0.08823529411764706,0.659499140565317,0.3484008312225342,0.4765625,0,0.0,0.0,[],0
flags,FullSupervision,,0.282563025210084,0.08088235294117647,0.690559746625923,4.5092504024505615,6.6171875,136,30.16022350989657,1.0,[],0
flags,Random,0.3,0.3004201680672268,0.07794117647058824,0.6707550741741919,1.5901335716247558,0.11484375,38.6,24.365120334068724,0.2838235294117647,0.0,[]
flags,Uncertainty,0.3,0.28151260504201675,0.11764705882352941,0.6941412549868433,1.494277000427246,0.0234375,38,25.430358621015365,0.27941176470588236,[],0
flags,QBC,0.3,0.2762605042016806,0.10294117647058823,0.6986503692386045,5.163156032562256,17.30078125,40,7.747199532172513,0.29411764705882354,[],0
emotions,NoQuery,,0.25841346153846156,0.13701923076923078,0.6323673722111223,1.5622143745422363,0.02734375,0,0.0,0.0,[],0
emotions,FullSupervision,,0.21834935897435898,0.23076923076923078,0.6804037108724609,33.343069314956665,113.046875,416,12.476355912843193,1.0,[],0
emotions,Random,0.3,0.2405448717948718,0.175,0.6475363351925851,11.150516605377197,8.47734375,120.6,10.816969110588252,0.2899038461538462,0.0,[]
emotions,Uncertainty,0.3,0.24759615384615385,0.15865384615384615,0.6370865245865246,12.173823118209839,0.14453125,124,10.18578952527398,0.2980769230769231,[],0
emotions,QBC,0.3,0.23637820512820515,0.20432692307692307,0.6542781003718503,46.82140398025513,61.6796875,124,2.6483614214621065,0.2980769230769231,[],0
scene,NoQuery,,0.27270029673590507,0.12047477744807121,0.49571246590534435,18.73377513885498,7.3359375,0,0.0,0.0,"[287, 1343, 1375]",3
scene,FullSupervision,,0.05459940652818991,0.7548961424332344,0.887782873242814,220.6969096660614,62.44921875,1685,7.63490527597142,1.0,[],0
scene,Random,0.3,0.11875370919881305,0.5082492581602375,0.751870065641579,116.29504590034485,89.4703125,502.2,4.318847039530037,0.2980415430267062,2.2,[]
scene,Uncertainty,0.3,0.11008902077151335,0.5804154302670623,0.7846343254503493,131.72423720359802,40.5546875,505,3.833766744228343,0.2997032640949555,"[351, 1535, 1567]",3
scene,QBC,0.3,0.2078140454995054,0.29851632047477744,0.5949409525522285,309.4623398780823,788.74609375,505,1.6318625400394535,0.2997032640949555,"[767, 799, 863, 1119, 1247, 1279, 1375]",7
birds,NoQuery,,0.08069399161620866,0.4225663716814159,0.7437935062615854,11.778313875198364,0,0,0.0,0.0,[],0
birds,FullSupervision,,0.05379599441080578,0.48008849557522126,0.7724485204648406,208.66818404197693,0,452,2.1661184337957002,1.0,[],0
birds,Random,0.3,0.05777829529576153,0.46858407079646014,0.7576727695343097,61.143831968307495,30.0125,131.8,2.155127908559197,0.2915929203539823,0.0,[]
birds,Uncertainty,0.3,0.05204937121564974,0.48451327433628316,0.7659923566418376,78.93342733383179,127.84375,135,1.7103020172815608,0.29867256637168144,[],0
birds,QBC,0.3,0.053213786679087105,0.4756637168141593,0.7645603618376703,249.76593589782715,892.96875,135,0.5405060522553605,0.29867256637168144,[],0
yeast,NoQuery,,0.206644714623438,0.09988179669030733,0.7181366609272194,18.38516092300415,0,0,0.0,0.0,[],0
yeast,FullSupervision,,0.20466058763931103,0.09929078014184398,0.7119744052984414,329.6963748931885,0,1692,5.131994552709766,1.0,[],0
yeast,Random,0.3,0.2072272880783519,0.09787234042553192,0.7106967194423485,117.61178393363953,252.7703125,504.2,4.291937326399227,0.2979905437352246,0.0,[]
yeast,Uncertainty,0.3,0.20732016210739612,0.09574468085106383,0.7087689315508647,142.7097887992859,791.4453125,507,3.5526644967085605,0.299645390070922,[],0
yeast,QBC,0.3,0.2075734549138804,0.10047281323877069,0.7069611751880754,437.1245982646942,2795.76953125,507,1.1598523670658172,0.299645390070922,[],0
